period_type,period_start_kst,period_end_kst,metric,value,unit
week,2026-06-15,2026-06-21,faq_end_proxy_rate_pct,44.4,percent
week,2026-06-22,2026-06-28,total_requests,20,count
week,2026-06-22,2026-06-28,matched_requests,10,count
week,2026-06-22,2026-06-28,unmatched_requests,10,count
week,2026-06-22,2026-06-28,match_rate_pct,50,percent
week,2026-06-22,2026-06-28,faq_end_proxy_rate_pct,42.9,percent
week,2026-06-29,2026-07-05,total_requests,18,count
week,2026-06-29,2026-07-05,matched_requests,11,count
week,2026-06-29,2026-07-05,unmatched_requests,7,count
week,2026-06-29,2026-07-05,match_rate_pct,61.1,percent
week,2026-06-29,2026-07-05,faq_end_proxy_rate_pct,57.1,percent
month,2026-05,2026-05-31,total_requests,113,count
month,2026-05,2026-05-31,matched_requests,72,count
month,2026-05,2026-05-31,unmatched_requests,41,count
month,2026-05,2026-05-31,match_rate_pct,63.7,percent
month,2026-05,2026-05-31,faq_end_proxy_rate_pct,73.1,percent
month,2026-06,2026-06-30,total_requests,167,count
month,2026-06,2026-06-30,matched_requests,103,count
month,2026-06,2026-06-30,unmatched_requests,64,count
month,2026-06,2026-06-30,match_rate_pct,61.7,percent
month,2026-06,2026-06-30,faq_end_proxy_rate_pct,54.4,percent
