period_type,period_start_kst,period_end_kst,brand,total_requests,matched_requests,unmatched_requests,match_rate_pct,unique_users,sessions,faq_end_proxy_sessions,faq_end_proxy_rate_pct,explicit_handoff_observed_sessions,typo_corrected_requests,test_requests_excluded,metric_caveat
week,2026-06-15,2026-06-21,aarke,7,6,1,85.7,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-22,2026-06-28,ALL,20,10,10,50,11,14,6,42.9,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-22,2026-06-28,woods,3,1,2,33.3,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-22,2026-06-28,laurastar,9,3,6,33.3,5,7,2,28.6,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-22,2026-06-28,aarke,8,6,2,75,3,4,3,75,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-29,2026-07-05,ALL,18,11,7,61.1,6,7,4,57.1,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-29,2026-07-05,laurastar,5,2,3,40,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-29,2026-07-05,aarke,11,7,4,63.6,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
week,2026-06-29,2026-07-05,litter-robot,2,2,0,100,1,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-05,2026-05-31,ALL,113,72,41,63.7,20,26,19,73.1,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-05,2026-05-31,laurastar,93,61,32,65.6,15,19,15,78.9,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-05,2026-05-31,woods,20,11,9,55,6,7,4,57.1,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-06,2026-06-30,ALL,167,103,64,61.7,57,68,37,54.4,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-06,2026-06-30,woods,63,46,17,73,19,20,11,55,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-06,2026-06-30,laurastar,76,36,40,47.4,34,38,19,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-06,2026-06-30,aarke,26,19,7,73.1,7,8,5,62.5,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
month,2026-06,2026-06-30,litter-robot,2,2,0,100,1,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
